"window_size","window_index","line_start","line_end","climate","enclosure_share","edge_share","middle_share","residual_share","diversity_share","edge_margin","edge_to_bracketed_ratio","local_topology"
"250","37","9001","9250","enclosure_dominant","0.684","0.216","0.072","0.028","0.464","-0.468","0.316","ordinary"
"250","38","9251","9500","enclosure_dominant","0.576","0.296","0.084","0.044","0.444","-0.28","0.514","ordinary"
"250","39","9501","9750","enclosure_dominant","0.572","0.272","0.12","0.036","0.488","-0.3","0.476","ordinary"
"250","40","9751","10000","enclosure_dominant","0.612","0.248","0.132","0.008","0.44","-0.364","0.405","ordinary"
"250","41","10001","10250","enclosure_dominant","0.684","0.22","0.072","0.024","0.512","-0.464","0.322","ordinary"
"250","42","10251","10500","quietly_consolidated","0.772","0.16","0.04","0.028","0.38","-0.612","0.207","ordinary"
"250","43","10501","10750","enclosure_dominant","0.652","0.232","0.08","0.036","0.532","-0.42","0.356","ordinary"
"250","44","10751","11000","enclosure_dominant","0.612","0.252","0.104","0.032","0.52","-0.36","0.412","ordinary"
"250","45","11001","11250","enclosure_dominant","0.72","0.192","0.064","0.024","0.46","-0.528","0.267","ordinary"
"250","46","11251","11500","quietly_consolidated","0.944","0.04","0.008","0.008","0.22","-0.904","0.042","ordinary"
"250","47","11501","11750","quietly_consolidated","0.984","0.016","0","0","0.208","-0.968","0.016","ordinary"
"250","48","11751","12000","quietly_consolidated","0.976","0.016","0","0.008","0.188","-0.96","0.016","ordinary"
"250","49","12001","12250","quietly_consolidated","0.96","0.032","0","0.008","0.184","-0.928","0.033","ordinary"
"250","50","12251","12500","quietly_consolidated","0.884","0.08","0.024","0.012","0.272","-0.804","0.09","ordinary"
"250","51","12501","12750","quietly_consolidated","0.892","0.072","0.028","0.008","0.264","-0.82","0.081","ordinary"
"250","52","12751","13000","quietly_consolidated","0.792","0.152","0.028","0.028","0.396","-0.64","0.192","ordinary"
"250","53","13001","13250","quietly_consolidated","0.956","0.032","0.004","0.008","0.22","-0.924","0.033","ordinary"
"250","54","13251","13500","quietly_consolidated","0.988","0.008","0","0.004","0.208","-0.98","0.008","ordinary"
"250","55","13501","13750","quietly_consolidated","0.9","0.072","0.024","0.004","0.38","-0.828","0.08","ordinary"
"250","56","13751","14000","enclosure_dominant","0.688","0.208","0.088","0.016","0.284","-0.48","0.302","ordinary"
"250","57","14001","14250","enclosure_dominant","0.652","0.232","0.084","0.032","0.34","-0.42","0.356","ordinary"
"250","58","14251","14500","enclosure_dominant","0.552","0.312","0.056","0.08","0.468","-0.24","0.565","ordinary"
"250","59","14501","14750","enclosure_dominant","0.692","0.22","0.02","0.068","0.376","-0.472","0.318","ordinary"
"250","60","14751","15000","quietly_consolidated","0.812","0.124","0.028","0.036","0.316","-0.688","0.153","ordinary"
"250","61","15001","15250","quietly_consolidated","0.82","0.128","0.028","0.024","0.296","-0.692","0.156","ordinary"
"250","62","15251","15500","quietly_consolidated","0.836","0.112","0.032","0.02","0.3","-0.724","0.134","ordinary"
"250","63","15501","15750","quietly_consolidated","1","0","0","0","0.168","-1","0","ordinary"
"250","64","15751","16000","quietly_consolidated","1","0","0","0","0.16","-1","0","ordinary"
"250","65","16001","16250","quietly_consolidated","1","0","0","0","0.16","-1","0","ordinary"
"250","66","16251","16500","quietly_consolidated","1","0","0","0","0.164","-1","0","ordinary"
"250","67","16501","16750","enclosure_dominant","0.66","0.228","0.092","0.02","0.348","-0.432","0.345","ordinary"
"250","68","16751","17000","enclosure_dominant","0.704","0.196","0.072","0.028","0.364","-0.508","0.278","ordinary"
"250","69","17001","17250","enclosure_dominant","0.668","0.224","0.08","0.028","0.368","-0.444","0.335","ordinary"
"250","70","17251","17500","enclosure_dominant","0.632","0.248","0.12","0","0.344","-0.384","0.392","ordinary"
"250","71","17501","17750","enclosure_dominant","0.584","0.28","0.124","0.012","0.348","-0.304","0.479","ordinary"
"250","72","17751","18000","quietly_consolidated","0.828","0.116","0.04","0.016","0.32","-0.712","0.14","ordinary"
"250","73","18001","18250","quietly_consolidated","0.896","0.076","0.012","0.016","0.284","-0.82","0.085","ordinary"
"250","74","18251","18500","quietly_consolidated","0.776","0.152","0.012","0.06","0.44","-0.624","0.196","ordinary"
"250","75","18501","18750","enclosure_dominant","0.568","0.296","0.06","0.076","0.46","-0.272","0.521","ordinary"
"250","76","18751","19000","enclosure_dominant","0.652","0.232","0.048","0.068","0.452","-0.42","0.356","ordinary"
"250","77","19001","19250","quietly_consolidated","0.952","0.048","0","0","0.248","-0.904","0.05","ordinary"
"250","78","19251","19500","quietly_consolidated","0.984","0.016","0","0","0.172","-0.968","0.016","ordinary"
"250","79","19501","19750","quietly_consolidated","0.984","0.016","0","0","0.276","-0.968","0.016","ordinary"
"250","80","19751","20000","enclosure_dominant","0.648","0.228","0.124","0","0.324","-0.42","0.352","ordinary"
"250","81","20001","20250","enclosure_dominant","0.652","0.244","0.104","0","0.312","-0.408","0.374","ordinary"
"250","82","20251","20500","quietly_consolidated","0.972","0.024","0","0.004","0.076","-0.948","0.025","ordinary"
"250","83","20501","20750","quietly_consolidated","0.964","0.032","0","0.004","0.108","-0.932","0.033","ordinary"
"250","84","20751","21000","enclosure_dominant","0.652","0.236","0.084","0.028","0.348","-0.416","0.362","ordinary"
"250","85","21001","21250","enclosure_dominant","0.628","0.24","0.108","0.024","0.332","-0.388","0.382","ordinary"
"250","86","21251","21500","enclosure_dominant","0.704","0.204","0.072","0.02","0.336","-0.5","0.29","ordinary"
"250","87","21501","21750","quietly_consolidated","0.852","0.096","0.028","0.024","0.308","-0.756","0.113","ordinary"
"250","88","21751","22000","enclosure_dominant","0.716","0.2","0.02","0.064","0.364","-0.516","0.279","ordinary"
"250","89","22001","22250","quietly_consolidated","0.852","0.12","0.004","0.024","0.276","-0.732","0.141","ordinary"
"250","90","22251","22500","quietly_consolidated","0.936","0.064","0","0","0.188","-0.872","0.068","ordinary"
"250","91","22501","22750","quietly_consolidated","0.864","0.12","0.016","0","0.22","-0.744","0.139","ordinary"
"250","92","22751","23000","enclosure_dominant","0.656","0.248","0.092","0.004","0.32","-0.408","0.378","ordinary"
"250","93","23001","23250","quietly_consolidated","0.796","0.152","0.052","0","0.268","-0.644","0.191","ordinary"
"250","94","23251","23500","enclosure_dominant","0.612","0.256","0.096","0.036","0.376","-0.356","0.418","ordinary"
"250","95","23501","23750","enclosure_dominant","0.576","0.272","0.124","0.028","0.368","-0.304","0.472","ordinary"
"250","96","23751","24000","quietly_consolidated","0.828","0.112","0.032","0.028","0.312","-0.716","0.135","ordinary"
"250","97","24001","24250","quietly_consolidated","0.864","0.096","0.02","0.02","0.264","-0.768","0.111","ordinary"
"250","98","24251","24500","quietly_consolidated","0.872","0.096","0.008","0.024","0.232","-0.776","0.11","ordinary"
"250","99","24501","24750","quietly_consolidated","0.928","0.072","0","0","0.096","-0.856","0.078","ordinary"
"250","100","24751","25000","quietly_consolidated","0.756","0.2","0.036","0.008","0.304","-0.556","0.265","ordinary"
"250","101","25001","25250","enclosure_dominant","0.448","0.408","0.128","0.016","0.508","-0.04","0.911","ordinary"
"250","102","25251","25500","enclosure_dominant","0.6","0.328","0.056","0.016","0.48","-0.272","0.547","ordinary"
"250","103","25501","25750","quietly_consolidated","0.824","0.136","0.012","0.028","0.224","-0.688","0.165","ordinary"
"250","104","25751","26000","enclosure_dominant","0.672","0.232","0.096","0","0.36","-0.44","0.345","ordinary"
"250","105","26001","26250","enclosure_dominant","0.524","0.32","0.156","0","0.428","-0.204","0.611","ordinary"
"250","106","26251","26500","enclosure_dominant","0.56","0.28","0.16","0","0.412","-0.28","0.5","ordinary"
"250","107","26501","26750","enclosure_dominant","0.684","0.224","0.092","0","0.316","-0.46","0.327","ordinary"
"250","108","26751","27000","quietly_consolidated","0.868","0.12","0.012","0","0.164","-0.748","0.138","ordinary"
"250","109","27001","27250","quietly_consolidated","0.924","0.072","0","0.004","0.196","-0.852","0.078","ordinary"
"250","110","27251","27500","quietly_consolidated","0.984","0.016","0","0","0.036","-0.968","0.016","ordinary"
"250","111","27501","27750","quietly_consolidated","0.972","0.024","0","0.004","0.056","-0.948","0.025","ordinary"
"250","112","27751","28000","quietly_consolidated","0.872","0.116","0","0.012","0.256","-0.756","0.133","ordinary"
"250","113","28001","28250","permeability_coupled","0.408","0.42","0.152","0.02","0.628","0.012","1.029","localized_inversion_basin"
"250","114","28251","28500","quietly_consolidated","0.768","0.176","0.036","0.02","0.328","-0.592","0.229","ordinary"
"250","115","28501","28750","quietly_consolidated","0.824","0.12","0.024","0.032","0.324","-0.704","0.146","ordinary"
"250","116","28751","29000","enclosure_dominant","0.736","0.18","0.052","0.032","0.424","-0.556","0.245","ordinary"
"250","117","29001","29250","quietly_consolidated","0.804","0.132","0.04","0.024","0.436","-0.672","0.164","ordinary"
"250","118","29251","29500","quietly_consolidated","0.796","0.192","0","0.012","0.372","-0.604","0.241","ordinary"
"250","119","29501","29750","quietly_consolidated","0.984","0.016","0","0","0.264","-0.968","0.016","ordinary"
"250","120","29751","30000","quietly_consolidated","0.964","0.024","0.008","0.004","0.204","-0.94","0.025","ordinary"
"250","121","30001","30250","quietly_consolidated","0.928","0.048","0.012","0.012","0.3","-0.88","0.052","ordinary"
"250","122","30251","30500","quietly_consolidated","0.824","0.128","0.02","0.028","0.308","-0.696","0.155","ordinary"
"250","123","30501","30750","enclosure_dominant","0.676","0.228","0.092","0.004","0.492","-0.448","0.337","ordinary"
"250","124","30751","31000","enclosure_dominant","0.408","0.396","0.168","0.028","0.516","-0.012","0.971","ordinary"
"250","125","31001","31250","enclosure_dominant","0.444","0.352","0.132","0.072","0.576","-0.092","0.793","ordinary"
"250","126","31251","31500","enclosure_dominant","0.544","0.316","0.048","0.092","0.508","-0.228","0.581","ordinary"
"250","127","31501","31750","quietly_consolidated","0.792","0.172","0.028","0.008","0.392","-0.62","0.217","ordinary"
"250","128","31751","32000","enclosure_dominant","0.624","0.296","0.08","0","0.492","-0.328","0.474","ordinary"
"250","129","32001","32250","quietly_consolidated","0.952","0.048","0","0","0.176","-0.904","0.05","ordinary"
"250","130","32251","32500","quietly_consolidated","0.952","0.048","0","0","0.236","-0.904","0.05","ordinary"
"250","131","32501","32750","quietly_consolidated","0.824","0.14","0.016","0.02","0.316","-0.684","0.17","ordinary"
"250","132","32751","33000","enclosure_dominant","0.556","0.308","0.072","0.064","0.484","-0.248","0.554","ordinary"
"250","133","33001","33250","quietly_consolidated","0.876","0.12","0","0.004","0.252","-0.756","0.137","ordinary"
"250","134","33251","33500","quietly_consolidated","0.88","0.112","0.008","0","0.376","-0.768","0.127","ordinary"
"250","135","33501","33750","quietly_consolidated","0.976","0.024","0","0","0.176","-0.952","0.025","ordinary"
"250","136","33751","34000","quietly_consolidated","0.9","0.072","0.012","0.016","0.22","-0.828","0.08","ordinary"
"250","137","34001","34250","enclosure_dominant","0.432","0.396","0.132","0.04","0.488","-0.036","0.917","ordinary"
"250","138","34251","34500","enclosure_dominant","0.6","0.268","0.092","0.04","0.372","-0.332","0.447","ordinary"
"250","139","34501","34750","quietly_consolidated","0.94","0.04","0.02","0","0.256","-0.9","0.043","ordinary"
"250","140","34751","35000","quietly_consolidated","0.908","0.088","0.004","0","0.372","-0.82","0.097","ordinary"
"250","141","35001","35250","quietly_consolidated","0.916","0.064","0.004","0.016","0.24","-0.852","0.07","ordinary"
"250","142","35251","35500","quietly_consolidated","0.82","0.128","0.012","0.04","0.292","-0.692","0.156","ordinary"
"250","143","35501","35750","quietly_consolidated","0.78","0.152","0.032","0.036","0.432","-0.628","0.195","ordinary"
"250","144","35751","36000","enclosure_dominant","0.72","0.216","0.032","0.032","0.456","-0.504","0.3","ordinary"
"250","145","36001","36250","quietly_consolidated","0.984","0.016","0","0","0.192","-0.968","0.016","ordinary"
"250","146","36251","36500","quietly_consolidated","0.984","0.016","0","0","0.18","-0.968","0.016","ordinary"
"250","147","36501","36750","quietly_consolidated","0.968","0.024","0.008","0","0.188","-0.944","0.025","ordinary"
"250","148","36751","37000","quietly_consolidated","0.764","0.168","0.012","0.056","0.368","-0.596","0.22","ordinary"
"250","149","37001","37250","enclosure_dominant","0.716","0.096","0.144","0.044","0.36","-0.62","0.134","ordinary"
"250","150","37251","37500","enclosure_dominant","0.524","0.324","0.052","0.1","0.488","-0.2","0.618","ordinary"
"250","151","37501","37750","permeability_coupled","0.396","0.408","0.144","0.052","0.48","0.012","1.03","localized_inversion_basin"
"250","152","37751","38000","enclosure_dominant","0.4","0.4","0.152","0.048","0.488","0","1","ordinary"
"250","153","38001","38250","enclosure_dominant","0.54","0.312","0.096","0.052","0.572","-0.228","0.578","ordinary"
"250","154","38251","38500","enclosure_dominant","0.456","0.364","0.088","0.092","0.584","-0.092","0.798","ordinary"
"250","155","38501","38750","quietly_consolidated","0.919","0.081","0","0","0.288","-0.837","0.088","ordinary"
