window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
150,window_001,1,150,150,118,0,32,0.7867,0.0,0.2133,29,19,0,0.9062,0.5938,0.0312,t=<num> RESIDUAL_BURST_0040_7405 burst_zone,stable_attached_residual
150,window_002,151,300,150,118,0,32,0.7867,0.0,0.2133,28,15,0,0.875,0.4688,0.0312,t=<num> RESIDUAL_EDGE_0169_3043 edge_disturbance,partial_residual_cluster
150,window_003,301,450,150,144,0,6,0.96,0.0,0.04,1,6,0,0.1667,1.0,0.1667,t=<num> RESIDUAL_BURST_0301_5775 burst_zone,stable_attached_residual
150,window_004,451,600,150,113,0,37,0.7533,0.0,0.2467,35,10,0,0.9459,0.2703,0.027,t=<num> RESIDUAL_EDGE_0471_4702 edge_disturbance,partial_residual_cluster
150,window_005,601,750,150,114,0,36,0.76,0.0,0.24,32,18,0,0.8889,0.5,0.0278,t=<num> RESIDUAL_EDGE_0682_8844 edge_disturbance,stable_attached_residual
150,window_006,751,900,150,148,0,2,0.9867,0.0,0.0133,0,2,0,0.0,1.0,0.5,t=<num> RESIDUAL_EDGE_0829_1832 edge_disturbance,stable_attached_residual
150,window_007,901,1050,150,116,0,34,0.7733,0.0,0.2267,27,17,0,0.7941,0.5,0.0294,t=<num> RESIDUAL_EDGE_0901_9701 edge_disturbance,stable_attached_residual
150,window_008,1051,1200,150,114,0,36,0.76,0.0,0.24,32,20,0,0.8889,0.5556,0.0278,t=<num> RESIDUAL_EDGE_1102_5544 edge_disturbance,stable_attached_residual
150,window_009,1201,1350,150,140,0,10,0.9333,0.0,0.0667,4,10,0,0.4,1.0,0.1,t=<num> RESIDUAL_EDGE_1205_2717 edge_disturbance,stable_attached_residual
150,window_010,1351,1500,150,118,0,32,0.7867,0.0,0.2133,28,18,0,0.875,0.5625,0.0312,t=<num> RESIDUAL_BURST_1362_6430 burst_zone,stable_attached_residual
150,window_011,1501,1650,150,110,0,40,0.7333,0.0,0.2667,38,12,0,0.95,0.3,0.025,t=<num> RESIDUAL_BURST_1580_4739 burst_zone,partial_residual_cluster
150,window_012,1651,1800,150,144,0,6,0.96,0.0,0.04,0,6,0,0.0,1.0,0.1667,t=<num> RESIDUAL_EDGE_1666_7957 edge_disturbance,stable_attached_residual
150,window_013,1801,1950,150,112,0,38,0.7467,0.0,0.2533,36,14,0,0.9474,0.3684,0.0263,t=<num> RESIDUAL_BURST_1801_1533 burst_zone,partial_residual_cluster
150,window_014,1951,2100,150,115,0,35,0.7667,0.0,0.2333,29,18,0,0.8286,0.5143,0.0286,t=<num> RESIDUAL_EDGE_1974_8897 edge_disturbance,stable_attached_residual
150,window_015,2101,2250,150,135,0,15,0.9,0.0,0.1,7,11,0,0.4667,0.7333,0.0667,t=<num> RESIDUAL_EDGE_2107_9520 edge_disturbance,stable_attached_residual
150,window_016,2251,2400,150,121,0,29,0.8067,0.0,0.1933,26,14,0,0.8966,0.4828,0.0345,t=<num> RESIDUAL_BURST_2251_1173 burst_zone,partial_residual_cluster
150,window_017,2401,2550,150,119,0,31,0.7933,0.0,0.2067,28,11,0,0.9032,0.3548,0.0323,t=<num> RESIDUAL_BURST_2463_4576 burst_zone,partial_residual_cluster
150,window_018,2551,2700,150,128,0,22,0.8533,0.0,0.1467,16,16,0,0.7273,0.7273,0.0455,t=<num> RESIDUAL_EDGE_2591_3860 edge_disturbance,stable_attached_residual
