terrain_id,from_focus_size,to_focus_size,from_line_start,from_line_end,to_line_start,to_line_end,overlap_ratio,from_posture,to_posture,from_legibility,to_legibility,delta_stable,delta_middle,delta_residual,transition_marker
interrupted_replay_001,25,50,1601,1625,1601,1650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1626,1650,1601,1650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1651,1675,1651,1700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1676,1700,1651,1700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1701,1725,1701,1750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1726,1750,1701,1750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1751,1775,1751,1800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1776,1800,1751,1800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1801,1825,1801,1850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1826,1850,1801,1850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1851,1875,1851,1900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1876,1900,1851,1900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1901,1925,1901,1950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1926,1950,1901,1950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1951,1975,1951,2000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1976,2000,1951,2000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2001,2025,2001,2050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2026,2050,2001,2050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2051,2075,2051,2100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2076,2100,2051,2100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2101,2125,2101,2150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2126,2150,2101,2150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2151,2175,2151,2200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2176,2200,2151,2200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2201,2225,2201,2250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2226,2250,2201,2250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2251,2275,2251,2300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2276,2300,2251,2300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2301,2325,2301,2350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2326,2350,2301,2350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2351,2375,2351,2400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2376,2400,2351,2400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2401,2425,2401,2450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2426,2450,2401,2450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2451,2475,2451,2500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2476,2500,2451,2500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2501,2525,2501,2550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2526,2550,2501,2550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2551,2575,2551,2600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2576,2600,2551,2600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2601,2625,2601,2650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2626,2650,2601,2650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2651,2675,2651,2700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2676,2700,2651,2700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2701,2725,2701,2750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2726,2750,2701,2750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2751,2775,2751,2800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2776,2800,2751,2800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2801,2825,2801,2850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2826,2850,2801,2850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2851,2875,2851,2900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2876,2900,2851,2900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2901,2925,2901,2950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2926,2950,2901,2950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2951,2975,2951,3000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,2976,3000,2951,3000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3001,3025,3001,3050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3026,3050,3001,3050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3051,3075,3051,3100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3076,3100,3051,3100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3101,3125,3101,3150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3126,3150,3101,3150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3151,3175,3151,3200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3176,3200,3151,3200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3201,3225,3201,3250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3226,3250,3201,3250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3251,3275,3251,3300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3276,3300,3251,3300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3301,3325,3301,3350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3326,3350,3301,3350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3351,3375,3351,3400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3376,3400,3351,3400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3401,3425,3401,3450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3426,3450,3401,3450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3451,3475,3451,3500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3476,3500,3451,3500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3501,3525,3501,3550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3526,3550,3501,3550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3551,3575,3551,3600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3576,3600,3551,3600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3601,3625,3601,3650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3626,3650,3601,3650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3651,3675,3651,3700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3676,3700,3651,3700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3701,3725,3701,3750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3726,3750,3701,3750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3751,3775,3751,3800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3776,3800,3751,3800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3801,3825,3801,3850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3826,3850,3801,3850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3851,3875,3851,3900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3876,3900,3851,3900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3901,3925,3901,3950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3926,3950,3901,3950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3951,3975,3951,4000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,3976,4000,3951,4000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,4001,4025,4001,4050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,4026,4050,4001,4050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,4051,4075,4051,4100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,4076,4100,4051,4100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,4101,4125,4101,4150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,4126,4150,4101,4150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
