terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
rr_4001_bin_250,bin_0216,53751,54000,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0217,54001,54250,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0218,54251,54500,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0219,54501,54750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0220,54751,55000,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0221,55001,55250,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0222,55251,55500,40,38,2,0,0,0,2,0.0500,persisted,localized_deformation
rr_4001_bin_250,bin_0223,55501,55750,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0224,55751,56000,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
rr_4001_bin_250,bin_0225,56001,56250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0226,56251,56500,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0227,56501,56750,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0228,56751,57000,41,40,1,0,0,0,1,0.0244,persisted,distributed_low
rr_4001_bin_250,bin_0229,57001,57250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0230,57251,57500,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0231,57501,57750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0232,57751,58000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0233,58001,58250,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0234,58251,58500,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0235,58501,58750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0236,58751,59000,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0237,59001,59250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0238,59251,59500,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0239,59501,59750,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0240,59751,60000,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0241,60001,60250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0242,60251,60500,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0243,60501,60750,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0244,60751,61000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0245,61001,61250,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0246,61251,61500,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0247,61501,61750,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0248,61751,62000,44,44,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0249,62001,62250,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0250,62251,62500,41,40,1,0,0,0,1,0.0244,persisted,distributed_low
rr_4001_bin_250,bin_0251,62501,62750,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0252,62751,63000,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0253,63001,63250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0254,63251,63500,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0255,63501,63750,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0256,63751,64000,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0257,64001,64250,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0258,64251,64500,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0259,64501,64750,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0260,64751,65000,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0261,65001,65250,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0262,65251,65500,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0263,65501,65750,44,44,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0264,65751,66000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0265,66001,66250,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0266,66251,66500,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0267,66501,66750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0268,66751,67000,41,40,1,0,0,0,1,0.0244,persisted,distributed_low
rr_4001_bin_250,bin_0269,67001,67250,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0270,67251,67500,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0271,67501,67750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0272,67751,68000,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0273,68001,68250,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0274,68251,68500,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0275,68501,68750,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0276,68751,69000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0277,69001,69250,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0278,69251,69500,44,44,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0279,69501,69750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0280,69751,70000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0281,70001,70250,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
