from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
75,100,10,8,residual,residual,5851-6975,5701-7000,1125,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,11,9,stable,stable,6976-7314,7001-7314,314,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
100,150,2,1,residual,middle,201-3400,1-300,100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,2,2,residual,residual,201-3400,301-3450,3100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,4,3,residual,stable,4901-5100,3451-4950,50,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,4,4,residual,residual,4901-5100,4951-5400,150,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,7,4,stable,residual,5301-5700,4951-5400,100,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,7,5,stable,stable,5301-5700,5401-5700,300,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,8,6,residual,residual,5701-7000,5701-6900,1200,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,8,7,residual,stable,5701-7000,6901-7314,100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
100,150,1,1,middle,middle,1-200,1-300,200,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,2,1,residual,middle,201-3400,1-300,100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,3,3,stable,stable,3401-4900,3451-4950,1450,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,4,3,residual,stable,4901-5100,3451-4950,50,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,4,4,residual,residual,4901-5100,4951-5400,150,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,5,4,stable,residual,5101-5200,4951-5400,100,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,6,4,residual,residual,5201-5300,4951-5400,100,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
