from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
25,40,15,8,stable,residual,4701-4750,4681-4720,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,15,9,stable,stable,4701-4750,4721-4760,30,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,16,9,residual,stable,4751-4775,4721-4760,10,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,16,10,residual,residual,4751-4775,4761-4800,15,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,17,10,stable,residual,4776-4825,4761-4800,25,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,17,11,stable,stable,4776-4825,4801-4880,25,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,18,11,residual,stable,4826-4850,4801-4880,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,19,11,stable,stable,4851-4875,4801-4880,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,20,11,residual,stable,4876-4900,4801-4880,5,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,20,12,residual,residual,4876-4900,4881-4920,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,21,12,stable,residual,4901-4925,4881-4920,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,21,13,stable,stable,4901-4925,4921-4960,5,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,22,13,residual,stable,4926-5025,4921-4960,35,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,22,14,residual,residual,4926-5025,4961-5080,65,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,23,14,stable,residual,5026-5050,4961-5080,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,24,14,residual,residual,5051-5100,4961-5080,30,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,24,15,residual,stable,5051-5100,5081-5160,20,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,25,15,stable,stable,5101-5125,5081-5160,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,26,15,residual,stable,5126-5150,5081-5160,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,27,15,stable,stable,5151-5175,5081-5160,10,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,27,16,stable,residual,5151-5175,5161-5320,15,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,28,16,residual,residual,5176-5300,5161-5320,125,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,29,16,stable,residual,5301-5325,5161-5320,20,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,29,17,stable,stable,5301-5325,5321-5680,5,2,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,30,17,residual,stable,5326-5350,5321-5680,25,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,31,17,stable,stable,5351-5625,5321-5680,275,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,32,17,residual,stable,5626-5650,5321-5680,25,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,33,17,stable,stable,5651-5700,5321-5680,30,2,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,33,18,stable,residual,5651-5700,5681-5720,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,34,18,residual,residual,5701-5725,5681-5720,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,34,19,residual,stable,5701-5725,5721-5760,5,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,35,19,stable,stable,5726-5750,5721-5760,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,36,19,residual,stable,5751-5775,5721-5760,10,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,36,20,residual,residual,5751-5775,5761-6920,15,2,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,37,20,stable,residual,5776-5800,5761-6920,25,1,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,38,20,residual,residual,5801-5825,5761-6920,25,1,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,39,20,stable,residual,5826-5850,5761-6920,25,1,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,40,20,residual,residual,5851-5900,5761-6920,50,1,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,41,20,stable,residual,5901-5925,5761-6920,25,1,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,42,20,residual,residual,5926-5975,5761-6920,50,1,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,43,20,stable,residual,5976-6000,5761-6920,25,1,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,44,20,residual,residual,6001-6950,5761-6920,920,2,9,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,45,22,stable,residual,6951-7250,7241-7280,10,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,46,22,residual,residual,7251-7300,7241-7280,30,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,46,23,residual,stable,7251-7300,7281-7314,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,47,23,stable,stable,7301-7314,7281-7314,14,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,1,1,middle,middle,1-200,1-200,200,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
25,40,2,2,residual,residual,201-3450,201-3440,3240,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
25,40,44,21,residual,stable,6001-6950,6921-7240,30,1,1,recolored_overlap,observer-side overlap relation under adjacent constitution transition
40,50,7,4,stable,residual,4641-4680,4601-4650,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,7,5,stable,stable,4641-4680,4651-4750,30,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,9,5,stable,stable,4721-4760,4651-4750,30,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,9,6,stable,residual,4721-4760,4751-4800,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,12,7,residual,stable,4881-4920,4801-4900,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,12,8,residual,residual,4881-4920,4901-5100,20,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,15,8,stable,residual,5081-5160,4901-5100,20,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,15,9,stable,stable,5081-5160,5101-5200,60,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,16,9,residual,stable,5161-5320,5101-5200,40,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,16,10,residual,residual,5161-5320,5201-5350,120,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,17,10,stable,residual,5321-5680,5201-5350,30,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,17,11,stable,stable,5321-5680,5351-5750,330,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,19,11,stable,stable,5721-5760,5351-5750,30,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,19,12,stable,residual,5721-5760,5751-6950,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,22,13,residual,stable,7241-7280,6951-7250,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,22,14,residual,residual,7241-7280,7251-7300,30,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,23,14,stable,residual,7281-7314,7251-7300,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,23,15,stable,stable,7281-7314,7301-7314,14,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,3,3,stable,stable,3441-4360,3451-4600,910,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,4,3,residual,stable,4361-4400,3451-4600,40,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,5,3,stable,stable,4401-4600,3451-4600,200,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,6,4,residual,residual,4601-4640,4601-4650,40,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,7,4,stable,residual,4641-4680,4601-4650,10,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,7,5,stable,stable,4641-4680,4651-4750,30,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,8,5,residual,stable,4681-4720,4651-4750,40,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,9,5,stable,stable,4721-4760,4651-4750,30,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,9,6,stable,residual,4721-4760,4751-4800,10,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,10,6,residual,residual,4761-4800,4751-4800,40,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,11,7,stable,stable,4801-4880,4801-4900,80,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,12,7,residual,stable,4881-4920,4801-4900,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,12,8,residual,residual,4881-4920,4901-5100,20,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
40,50,13,8,stable,residual,4921-4960,4901-5100,40,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
