terrain_id,focus_size,window_id,line_start,line_end,stable_share,middle_share,residual_share,dominant_posture,seam_count,posture_mix_count,legibility_class,band_sequence
hierarchical_burst_structural_v2,25,91,2251,2275,0.12,0.0,0.88,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,92,2276,2300,0.8,0.0,0.2,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,93,2301,2325,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,94,2326,2350,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,95,2351,2375,0.92,0.0,0.08,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,96,2376,2400,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,97,2401,2425,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,98,2426,2450,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,99,2451,2475,0.68,0.0,0.32,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,100,2476,2500,0.16,0.0,0.84,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,101,2501,2525,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,102,2526,2550,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,103,2551,2575,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,104,2576,2600,0.92,0.0,0.08,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,105,2601,2625,0.88,0.0,0.12,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,106,2626,2650,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,107,2651,2675,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,108,2676,2700,0.4,0.0,0.6,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,109,2701,2725,0.4,0.0,0.6,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,110,2726,2750,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,111,2751,2775,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,112,2776,2800,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,113,2801,2825,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,114,2826,2850,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,115,2851,2875,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,116,2876,2900,0.92,0.0,0.08,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,117,2901,2925,0.2,0.0,0.8,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,118,2926,2950,0.4,0.0,0.6,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,119,2951,2975,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,120,2976,3000,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,121,3001,3025,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,122,3026,3050,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,123,3051,3075,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,124,3076,3100,0.92,0.0,0.08,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,125,3101,3125,0.76,0.0,0.24,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,126,3126,3150,0.4,0.0,0.6,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,127,3151,3175,0.6,0.0,0.4,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,128,3176,3200,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,129,3201,3225,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
