terrain_id,from_focus_size,to_focus_size,from_line_start,from_line_end,to_line_start,to_line_end,overlap_ratio,from_posture,to_posture,from_legibility,to_legibility,delta_stable,delta_middle,delta_residual,transition_marker
rr_interval_4002_first_50000_001,100,125,17401,17500,17376,17500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0040,0.0000,-0.0040,persisted
rr_interval_4002_first_50000_001,100,125,17501,17600,17501,17625,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,17601,17700,17626,17750,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,17701,17800,17626,17750,0.5000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,17801,17900,17751,17875,0.7500,stable,stable,dominant_stable,dominant_stable,0.0300,-0.0200,-0.0100,persisted
rr_interval_4002_first_50000_001,100,125,17901,18000,17876,18000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0100,-0.0100,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,18001,18100,18001,18125,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,18101,18200,18126,18250,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0080,0.0000,0.0080,persisted
rr_interval_4002_first_50000_001,100,125,18201,18300,18126,18250,0.5000,stable,stable,dominant_stable,dominant_stable,0.0020,0.0000,-0.0020,persisted
rr_interval_4002_first_50000_001,100,125,18301,18400,18251,18375,0.7500,stable,stable,dominant_stable,dominant_stable,0.0060,-0.0060,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,18401,18500,18376,18500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0020,0.0000,-0.0020,persisted
rr_interval_4002_first_50000_001,100,125,18501,18600,18501,18625,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,18601,18700,18626,18750,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,18701,18800,18626,18750,0.5000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,18801,18900,18751,18875,0.7500,stable,stable,dominant_stable,dominant_stable,0.0040,-0.0040,0.0000,persisted
