"window","present","family_occurrences","exact_template_count","dominant_posture","stable_bracketed","stable_edge","middle_attached","residual_clustered","mixed"
"window_080","yes","250","81","stable_bracketed","162","57","31","0","0"
"window_081","yes","250","78","stable_bracketed","163","61","26","0","0"
"window_082","yes","250","19","stable_bracketed","243","6","0","1","0"
"window_083","yes","250","27","stable_bracketed","241","8","0","1","0"
"window_084","yes","250","87","stable_bracketed","163","59","21","7","0"
"window_085","yes","250","83","stable_bracketed","157","60","27","6","0"
"window_086","yes","250","84","stable_bracketed","176","51","18","5","0"
"window_087","yes","250","77","stable_bracketed","213","24","7","6","0"
"window_088","yes","250","91","stable_bracketed","179","50","5","16","0"
"window_089","yes","250","69","stable_bracketed","213","30","1","6","0"
"window_090","yes","250","47","stable_bracketed","234","16","0","0","0"
"window_091","yes","250","55","stable_bracketed","216","30","4","0","0"
"window_092","yes","250","80","stable_bracketed","164","62","23","1","0"
"window_093","yes","250","67","stable_bracketed","199","38","13","0","0"
"window_094","yes","250","94","stable_bracketed","153","64","24","9","0"
"window_095","yes","250","92","stable_bracketed","144","68","31","7","0"
"window_096","yes","250","78","stable_bracketed","207","28","8","7","0"
"window_097","yes","250","66","stable_bracketed","216","24","5","5","0"
"window_098","yes","250","58","stable_bracketed","218","24","2","6","0"
"window_099","yes","250","24","stable_bracketed","232","18","0","0","0"
"window_100","yes","250","76","stable_bracketed","189","50","9","2","0"
"window_101","yes","250","127","stable_bracketed","112","102","32","4","0"
"window_102","yes","250","120","stable_bracketed","150","82","14","4","0"
"window_103","yes","250","56","stable_bracketed","206","34","3","7","0"
"window_104","yes","250","90","stable_bracketed","168","58","24","0","0"
"window_105","yes","250","107","stable_bracketed","131","80","39","0","0"
"window_106","yes","250","103","stable_bracketed","140","70","40","0","0"
"window_107","yes","250","79","stable_bracketed","171","56","23","0","0"
"window_108","yes","250","41","stable_bracketed","217","30","3","0","0"
"window_109","yes","250","49","stable_bracketed","231","18","0","1","0"
"window_110","yes","250","9","stable_bracketed","246","4","0","0","0"
"window_111","yes","250","14","stable_bracketed","243","6","0","1","0"
"window_112","yes","250","64","stable_bracketed","218","29","0","3","0"
"window_113","yes","250","157","stable_edge","102","105","38","5","0"
"window_114","yes","250","82","stable_bracketed","192","44","9","5","0"
"window_115","yes","250","81","stable_bracketed","206","30","6","8","0"
"window_116","yes","250","106","stable_bracketed","184","45","13","8","0"
"window_117","yes","250","109","stable_bracketed","201","33","10","6","0"
"window_118","yes","250","93","stable_bracketed","199","48","0","3","0"
"window_119","yes","250","66","stable_bracketed","246","4","0","0","0"
"window_120","yes","250","51","stable_bracketed","241","6","2","1","0"
"window_121","yes","250","75","stable_bracketed","232","12","3","3","0"
"window_122","yes","250","77","stable_bracketed","206","32","5","7","0"
"window_123","yes","250","123","stable_bracketed","169","57","23","1","0"
"window_124","yes","250","129","stable_bracketed","102","99","42","7","0"
"window_125","yes","250","144","stable_bracketed","111","88","33","18","0"
"window_126","yes","250","127","stable_bracketed","136","79","12","23","0"
"window_127","yes","250","98","stable_bracketed","198","43","7","2","0"
"window_128","yes","250","123","stable_bracketed","156","74","20","0","0"
"window_129","yes","250","44","stable_bracketed","238","12","0","0","0"
"window_130","yes","250","59","stable_bracketed","238","12","0","0","0"
"window_131","yes","250","79","stable_bracketed","206","35","4","5","0"
"window_132","yes","250","121","stable_bracketed","139","77","18","16","0"
"window_133","yes","250","63","stable_bracketed","219","30","0","1","0"
"window_134","yes","250","94","stable_bracketed","220","28","2","0","0"
"window_135","yes","250","44","stable_bracketed","244","6","0","0","0"
"window_136","yes","250","55","stable_bracketed","225","18","3","4","0"
"window_137","yes","250","122","stable_bracketed","108","99","33","10","0"
"window_138","yes","250","93","stable_bracketed","150","67","23","10","0"
"window_139","yes","250","64","stable_bracketed","235","10","5","0","0"
"window_140","yes","250","93","stable_bracketed","227","22","1","0","0"
"window_141","yes","250","60","stable_bracketed","229","16","1","4","0"
"window_142","yes","250","73","stable_bracketed","205","32","3","10","0"
"window_143","yes","250","108","stable_bracketed","195","38","8","9","0"
"window_144","yes","250","114","stable_bracketed","180","54","8","8","0"
"window_145","yes","250","48","stable_bracketed","246","4","0","0","0"
"window_146","yes","250","45","stable_bracketed","246","4","0","0","0"
"window_147","yes","250","47","stable_bracketed","242","6","2","0","0"
"window_148","yes","250","92","stable_bracketed","191","42","3","14","0"
"window_149","yes","250","90","stable_bracketed","179","24","36","11","0"
"window_150","yes","250","122","stable_bracketed","131","81","13","25","0"
"window_151","yes","250","120","stable_edge","99","102","36","13","0"
"window_152","yes","250","122","stable_edge","100","100","38","12","0"
"window_153","yes","250","143","stable_bracketed","135","78","24","13","0"
"window_154","yes","250","146","stable_bracketed","114","91","22","23","0"
"window_155","yes","160","46","stable_bracketed","147","13","0","0","0"
